"tweet_id","in_reply_to_status_id","in_reply_to_user_id","timestamp","source","text","retweeted_status_id","retweeted_status_user_id","retweeted_status_timestamp","expanded_urls"
"951813887715782657","951813347799851008","738315868573028352","2018-01-12 13:51:29 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@HitBBB 問題ありません","","","",""
"951812690829193216","951810503218577409","1186126627","2018-01-12 13:46:43 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@tight1130 2月下旬発売と思う","","","",""
"951809524716859393","951808548735864834","1186126627","2018-01-12 13:34:09 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@tight1130 問題ありません","","","",""
"951808788972978176","951806129096376320","888695018667388928","2018-01-12 13:31:13 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@WBA3130 新シーリズ3月スタート","","","",""
"951808160695595009","951807215026884610","878914436949397506","2018-01-12 13:28:43 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@detectiveblader 問題ありません","","","",""
"951804827805278209","","","2018-01-12 13:15:29 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","神レイヤーシリーズ　最後ブースター
スクリュートライデント・８B・Wd
#ベイブレードバースト https://t.co/7YzeHVkKIB","","","","https://twitter.com/vocarevoproj/status/951804827805278209/photo/1,https://twitter.com/vocarevoproj/status/951804827805278209/photo/1"
"940973495055400961","940962460353273856","940869943108698112","2017-12-13 15:55:38 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@Freezehimazin タカラトミーモール （「限定公開」です）","","","",""
"940917835219443712","940902849927512065","908959721687629825","2017-12-13 12:14:27 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@Hcc5S @Ronoru8X_R516 同じ形→同じフレームだと思う https://t.co/ylrCavLkUM","","","","https://twitter.com/vocarevoproj/status/940917835219443712/photo/1,https://twitter.com/vocarevoproj/status/940917835219443712/photo/1"
"940916003566862336","940890821070503936","847050130712768512","2017-12-13 12:07:11 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@Ronoru8X_R516 ソース：https://t.co/5Uei74AqJx","","","","https://ameblo.jp/egnat/entry-12335067974.html"
"940878399035277318","940870216321560576","1186126627","2017-12-13 09:37:45 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@tight1130 問題ありません","","","",""
"940876063273517056","","","2017-12-13 09:28:28 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","ランブー9のベイの高画質画像

https://t.co/iVjUgFtvpQ
https://t.co/u0Sljfs0Kc
https://t.co/OqGIonWyH0
https://t.co/gFAmvW7yCm
https://t.co/J9lPVD3yj2
https://t.co/UEJwyTeQSp
https://t.co/IkPSqPUHzn
https://t.co/LPjcE7tI28

#ベイブレードバースト 
#ドランザーf 
#ビートククルカン","","","","http://dmwysfovhyfx3.cloudfront.net/img/goods/1/4904810971375.jpg,http://dmwysfovhyfx3.cloudfront.net/img/goods/2/4904810971375.jpg,http://dmwysfovhyfx3.cloudfront.net/img/goods/3/4904810971375.jpg,http://dmwysfovhyfx3.cloudfront.net/img/goods/4/4904810971375.jpg,http://dmwysfovhyfx3.cloudfront.net/img/goods/L/4904810971375.jpg,http://dmwysfovhyfx3.cloudfront.net/img/goods/C/4904810971375.jpg,http://dmwysfovhyfx3.cloudfront.net/img/goods/7/4904810971375.jpg,http://dmwysfovhyfx3.cloudfront.net/img/goods/8/4904810971375.jpg"
"940732869617401856","940607528441749504","935502656872759296","2017-12-12 23:59:28 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@torodon_don @DRANZER_ITUKI 問題ありません","","","",""
"940558257667448840","940548648387207168","2897498086","2017-12-12 12:25:38 +0000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","@Aggregor941 This is the 7th colour.","","","",""
"940504312152653825","","","2017-12-12 08:51:16 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ランダムブースター９

#エッジドライバー
#ビートククルカン
#ドランザーフレイム
#ドランザーF
#ベイブレードバースト https://t.co/paRbVQkuQr","","","","https://twitter.com/vocarevoproj/status/940504312152653825/photo/1"
"939155867227656192","939153568363200512","763973256315412482","2017-12-08 15:33:02 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","画像
https://t.co/tAPYBvPmxq

#ランブー #ランダムブースター 
#ビートククルカン #ドランザーフレイム #ドランザーF","","","","https://scontent-atl3-1.xx.fbcdn.net/v/t1.0-9/24774981_1561402017300460_4583233259682502251_n.jpg?oh=b2ba97763be4f1f3a16aca328e7b6812&oe=5AD038F7"
"939153724135444487","939141227848413184","844547668319752192","2017-12-08 15:24:31 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@Ilove__TAKUAN デザインコンテストベイも可能です","","","",""
"939153568363200512","","","2017-12-08 15:23:53 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ランダムブースター９　内容
。　ビートククルカン
。　マッドミノボロス
。　ギガントガイア
。　クライスサタン
。　ガーディアンケルベウス
。　ブラストジニウス
。　ヴァルキリー
。　ドランザーフレイム

#ベイブレードバースト　#ランブー","","","",""
"938743844287365120","","","2017-12-07 12:15:48 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","最後のゴッドレイヤー？
#ベイブレードバースト https://t.co/YPOGKWpXWT","","","","https://twitter.com/detectiveblader/status/938741650473369601"
"938018889761300482","","","2017-12-05 12:15:05 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","参考のため
#ベイブレードバースト
#ツインネメシス https://t.co/lzTgVmDUsy","","","","https://twitter.com/LbTakumi/status/936924960194314241"
"938017364628533248","937960128036290560","4832709279","2017-12-05 12:09:01 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@shoya_mylife みんなのために","","","",""
"937652412088594438","937497904574373888","3582584959","2017-12-04 11:58:50 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@WBOVikram Lottery available in January","","","",""
"937337935736709121","","","2017-12-03 15:09:13 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","フリーのランチャー 
ドレインファブニル　クリムゾンレッド　クリスタルブルー　
#みんなのくじ #ベイブレードバースト https://t.co/8DeoUa7R0X","","","","https://twitter.com/vocarevoproj/status/937337935736709121/photo/1,https://twitter.com/vocarevoproj/status/937337935736709121/photo/1,https://twitter.com/vocarevoproj/status/937337935736709121/photo/1"
"937337117536952321","937336380710981632","858171892619804672","2017-12-03 15:05:58 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","@tototoshe すべてのパーツが新しい　嬉しいね〜","","","",""
"937335481636810753","","","2017-12-03 14:59:28 +0000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ダブルゲット賞
ツインネメシス　デフォは
3H （新ディスクとフレーム） Ul （アルティメットリブート）！！
#みんなのくじ
#ベイブレードバースト https://t.co/n78vL3FR2p","","","","https://twitter.com/vocarevoproj/status/937335481636810753/photo/1"
